Country,RegionName,Quarter,TotalRevenue,OrderCount
Canada,Central,Q1-2024,997.58,17
Canada,Central,Q2-2024,1634.19,27
Canada,Central,Q3-2024,1276.02,15
Canada,Central,Q4-2024,1899.23,25
Canada,Pacific,Q1-2024,2374.73,26
Canada,Pacific,Q2-2024,564.43,15
Canada,Pacific,Q3-2024,2777.11,36
Canada,Pacific,Q4-2024,1448.82,23
USA,East,Q1-2024,1671.28,24
USA,East,Q2-2024,1757.14,20
USA,East,Q3-2024,804.38,15
USA,East,Q4-2024,889.35,16
USA,North,Q1-2024,1051.1,15
USA,North,Q2-2024,1457.16,20
USA,North,Q3-2024,1373.92,16
USA,North,Q4-2024,1197.56,18
USA,South,Q1-2024,2085.16,28
USA,South,Q2-2024,1106.11,16
USA,South,Q3-2024,2375.95,23
USA,South,Q4-2024,1095.08,16
USA,West,Q1-2024,1051.59,15
USA,West,Q2-2024,1308.81,22
USA,West,Q3-2024,2063.85,28
USA,West,Q4-2024,1773.5,24
