OrderID,RegionCode,Product,Quantity,UnitPrice,OrderDate
O00001,R06,Widget,1,12.5,2024-05-20
O00002,R02,Gadget,3,29.99,2024-02-22
O00003,R06,Widget,10,12.5,2024-08-04
O00004,R01,Widget,2,12.5,2024-04-21
O00005,R02,Widget,9,12.5,2024-04-11
O00006,R06,Cog,4,8.25,2024-08-17
O00007,R05,Sprocket,1,4.75,2024-03-22
O00008,R06,Cog,6,8.25,2024-05-22
O00009,R02,Gadget,6,29.99,2024-02-22
O00010,R01,Cog,2,8.25,2024-07-02
O00011,R03,Sprocket,1,4.75,2024-08-23
O00012,R05,Widget,7,12.5,2024-02-10
O00013,R05,Sprocket,10,4.75,2024-07-04
O00014,R05,Gadget,2,29.99,2024-01-24
O00015,R06,Gadget,5,29.99,2024-02-10
O00016,R02,Widget,7,12.5,2024-05-22
O00017,R04,Sprocket,3,4.75,2024-07-08
O00018,R03,Gadget,5,29.99,2024-12-25
O00019,R06,Widget,10,12.5,2024-11-21
O00020,R02,Gadget,3,29.99,2024-08-24
O00021,R04,Sprocket,9,4.75,2024-04-22
O00022,R06,Sprocket,1,4.75,2024-04-27
O00023,R01,Sprocket,7,4.75,2024-05-17
O00024,R01,Gadget,10,29.99,2024-06-10
O00025,R02,Cog,7,8.25,2024-11-25
O00026,R04,Gadget,5,29.99,2024-03-12
O00027,R02,Sprocket,10,4.75,2024-08-07
O00028,R05,Cog,6,8.25,2024-04-22
O00029,R02,Cog,2,8.25,2024-01-25
O00030,R01,Gadget,3,29.99,2024-12-14
O00031,R04,Widget,7,12.5,2024-07-14
O00032,R05,Cog,9,8.25,2024-05-08
O00033,R05,Widget,2,12.5,2024-12-15
O00034,R05,Sprocket,6,4.75,2024-02-27
O00035,R03,Cog,3,8.25,2024-08-20
O00036,R01,Sprocket,9,4.75,2024-04-01
O00037,R05,Widget,5,12.5,2024-11-23
O00038,R05,Gadget,3,29.99,2024-07-10
O00039,R02,Widget,10,12.5,2024-06-14
O00040,R04,Widget,2,12.5,2024-07-04
O00041,R03,Gadget,1,29.99,2024-05-03
O00042,R05,Widget,2,12.5,2024-09-05
O00043,R01,Gadget,3,29.99,2024-12-03
O00044,R04,Gadget,5,29.99,2024-09-27
O00045,R05,Cog,4,8.25,2024-10-03
O00046,R06,Gadget,5,29.99,2024-07-23
O00047,R06,Sprocket,8,4.75,2024-09-21
O00048,R04,Widget,4,12.5,2024-04-25
O00049,R01,Sprocket,1,4.75,2024-10-28
O00050,R05,Gadget,10,29.99,2024-04-22
O00051,R01,Widget,1,12.5,2024-04-27
O00052,R01,Widget,6,12.5,2024-02-06
O00053,R05,Gadget,5,29.99,2024-12-08
O00054,R04,Gadget,9,29.99,2024-03-08
O00055,R06,Cog,4,8.25,2024-08-30
O00056,R04,Gadget,2,29.99,2024-02-19
O00057,R06,Cog,6,8.25,2024-08-04
O00058,R04,Cog,1,8.25,2024-12-10
O00059,R06,Widget,1,12.5,2024-07-25
O00060,R06,Sprocket,2,4.75,2024-05-07
O00061,R02,Gadget,9,29.99,2024-08-17
O00062,R02,Cog,3,8.25,2024-05-22
O00063,R04,Gadget,2,29.99,2024-08-14
O00064,R05,Widget,1,12.5,2024-11-29
O00065,R05,Widget,2,12.5,2024-05-01
O00066,R02,Cog,8,8.25,2024-09-03
O00067,R02,Cog,1,8.25,2024-03-25
O00068,R04,Widget,7,12.5,2024-05-15
O00069,R04,Sprocket,7,4.75,2024-12-22
O00070,R06,Cog,3,8.25,2024-04-07
O00071,R03,Gadget,1,29.99,2024-10-23
O00072,R06,Widget,6,12.5,2024-01-30
O00073,R01,Cog,9,8.25,2024-09-28
O00074,R02,Widget,9,12.5,2024-02-11
O00075,R02,Widget,10,12.5,2024-02-04
O00076,R06,Gadget,7,29.99,2024-03-02
O00077,R05,Gadget,10,29.99,2024-10-31
O00078,R01,Widget,7,12.5,2024-12-02
O00079,R05,Sprocket,5,4.75,2024-04-14
O00080,R06,Sprocket,4,4.75,2024-05-15
O00081,R04,Gadget,5,29.99,2024-08-22
O00082,R03,Widget,1,12.5,2024-08-22
O00083,R05,Widget,2,12.5,2024-10-02
O00084,R02,Sprocket,3,4.75,2024-06-27
O00085,R01,Gadget,6,29.99,2024-05-25
O00086,R02,Cog,9,8.25,2024-12-26
O00087,R03,Widget,9,12.5,2024-06-02
O00088,R06,Widget,3,12.5,2024-05-15
O00089,R01,Widget,9,12.5,2024-03-20
O00090,R03,Sprocket,10,4.75,2024-04-17
O00091,R06,Sprocket,4,4.75,2024-12-17
O00092,R06,Sprocket,9,4.75,2024-09-07
O00093,R03,Widget,2,12.5,2024-11-20
O00094,R04,Sprocket,1,4.75,2024-01-02
O00095,R03,Gadget,5,29.99,2024-03-23
O00096,R06,Cog,9,8.25,2024-12-27
O00097,R04,Widget,2,12.5,2024-02-08
O00098,R06,Gadget,9,29.99,2024-01-19
O00099,R03,Gadget,7,29.99,2024-03-06
O00100,R01,Sprocket,6,4.75,2024-01-21
O00101,R03,Gadget,4,29.99,2024-12-07
O00102,R01,Sprocket,9,4.75,2024-07-27
O00103,R05,Gadget,4,29.99,2024-03-24
O00104,R02,Cog,1,8.25,2024-04-01
O00105,R06,Sprocket,7,4.75,2024-12-08
O00106,R06,Gadget,5,29.99,2024-03-22
O00107,R06,Widget,7,12.5,2024-01-20
O00108,R04,Gadget,4,29.99,2024-08-23
O00109,R03,Sprocket,4,4.75,2024-04-24
O00110,R01,Gadget,7,29.99,2024-06-17
O00111,R03,Widget,5,12.5,2024-06-28
O00112,R06,Cog,9,8.25,2024-06-18
O00113,R01,Widget,5,12.5,2024-04-01
O00114,R05,Sprocket,1,4.75,2024-02-25
O00115,R05,Cog,6,8.25,2024-06-09
O00116,R04,Widget,7,12.5,2024-10-22
O00117,R02,Sprocket,1,4.75,2024-12-28
O00118,R04,Widget,9,12.5,2024-10-02
O00119,R06,Gadget,6,29.99,2024-08-08
O00120,R01,Sprocket,10,4.75,2024-06-09
O00121,R06,Widget,5,12.5,2024-09-16
O00122,R03,Cog,6,8.25,2024-07-25
O00123,R06,Sprocket,9,4.75,2024-03-06
O00124,R02,Cog,7,8.25,2024-12-12
O00125,R06,Gadget,10,29.99,2024-10-18
O00126,R03,Cog,9,8.25,2024-01-01
O00127,R03,Sprocket,4,4.75,2024-08-08
O00128,R05,Sprocket,8,4.75,2024-08-14
O00129,R04,Gadget,9,29.99,2024-08-30
O00130,R06,Gadget,2,29.99,2024-05-25
O00131,R05,Sprocket,2,4.75,2024-04-30
O00132,R06,Sprocket,4,4.75,2024-04-11
O00133,R02,Widget,1,12.5,2024-05-05
O00134,R04,Widget,8,12.5,2024-07-31
O00135,R06,Gadget,7,29.99,2024-09-10
O00136,R04,Gadget,3,29.99,2024-12-01
O00137,R06,Widget,2,12.5,2024-08-05
O00138,R02,Gadget,9,29.99,2024-08-25
O00139,R01,Gadget,2,29.99,2024-08-21
O00140,R02,Cog,9,8.25,2024-10-13
O00141,R05,Sprocket,8,4.75,2024-11-09
O00142,R06,Cog,9,8.25,2024-08-16
O00143,R02,Cog,8,8.25,2024-05-12
O00144,R02,Sprocket,9,4.75,2024-09-05
O00145,R06,Gadget,5,29.99,2024-08-13
O00146,R01,Sprocket,4,4.75,2024-05-19
O00147,R03,Sprocket,9,4.75,2024-02-11
O00148,R02,Gadget,4,29.99,2024-07-15
O00149,R06,Gadget,4,29.99,2024-02-02
O00150,R04,Cog,6,8.25,2024-10-04
O00151,R04,Cog,1,8.25,2024-04-15
O00152,R04,Cog,10,8.25,2024-12-22
O00153,R01,Cog,8,8.25,2024-01-04
O00154,R03,Sprocket,7,4.75,2024-08-02
O00155,R05,Gadget,8,29.99,2024-04-22
O00156,R03,Cog,8,8.25,2024-01-15
O00157,R04,Sprocket,7,4.75,2024-03-25
O00158,R04,Gadget,10,29.99,2024-09-30
O00159,R01,Cog,10,8.25,2024-10-15
O00160,R06,Widget,2,12.5,2024-11-25
O00161,R04,Gadget,8,29.99,2024-04-03
O00162,R01,Sprocket,7,4.75,2024-06-16
O00163,R02,Cog,6,8.25,2024-06-21
O00164,R04,Sprocket,7,4.75,2024-05-09
O00165,R01,Cog,1,8.25,2024-10-03
O00166,R01,Sprocket,4,4.75,2024-11-28
O00167,R01,Widget,1,12.5,2024-05-06
O00168,R02,Widget,10,12.5,2024-03-19
O00169,R02,Gadget,8,29.99,2024-12-08
O00170,R01,Gadget,8,29.99,2024-12-24
O00171,R03,Sprocket,3,4.75,2024-11-06
O00172,R05,Widget,3,12.5,2024-06-08
O00173,R01,Widget,5,12.5,2024-10-21
O00174,R06,Cog,7,8.25,2024-04-11
O00175,R01,Gadget,2,29.99,2024-12-22
O00176,R03,Widget,10,12.5,2024-01-22
O00177,R03,Cog,6,8.25,2024-02-05
O00178,R05,Sprocket,1,4.75,2024-08-03
O00179,R04,Widget,7,12.5,2024-07-04
O00180,R06,Cog,3,8.25,2024-08-10
O00181,R02,Sprocket,10,4.75,2024-10-02
O00182,R04,Cog,7,8.25,2024-10-30
O00183,R03,Sprocket,4,4.75,2024-02-14
O00184,R03,Cog,4,8.25,2024-08-25
O00185,R05,Cog,6,8.25,2024-01-15
O00186,R04,Sprocket,3,4.75,2024-09-06
O00187,R02,Sprocket,5,4.75,2024-06-23
O00188,R03,Sprocket,9,4.75,2024-01-06
O00189,R05,Gadget,2,29.99,2024-05-03
O00190,R06,Cog,8,8.25,2024-10-11
O00191,R02,Cog,8,8.25,2024-08-17
O00192,R01,Widget,5,12.5,2024-04-23
O00193,R04,Gadget,5,29.99,2024-12-05
O00194,R05,Sprocket,8,4.75,2024-10-10
O00195,R05,Sprocket,7,4.75,2024-10-08
O00196,R03,Sprocket,8,4.75,2024-05-18
O00197,R03,Sprocket,4,4.75,2024-03-02
O00198,R06,Gadget,6,29.99,2024-03-02
O00199,R06,Gadget,4,29.99,2024-04-20
O00200,R06,Cog,5,8.25,2024-10-28
O00201,R05,Sprocket,2,4.75,2024-04-09
O00202,R03,Gadget,6,29.99,2024-04-01
O00203,R03,Widget,9,12.5,2024-03-05
O00204,R03,Widget,1,12.5,2024-10-10
O00205,R03,Gadget,8,29.99,2024-02-22
O00206,R01,Sprocket,8,4.75,2024-09-02
O00207,R04,Sprocket,3,4.75,2024-01-27
O00208,R03,Cog,2,8.25,2024-02-03
O00209,R04,Cog,2,8.25,2024-10-22
O00210,R06,Widget,3,12.5,2024-03-17
O00211,R05,Sprocket,2,4.75,2024-05-07
